      Type       |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 File            | DXE driver            |   N/A    | 00000C42 | 4A3A0DCD | ------- 1DFB7BFA-BF8E-4D12-9766-B0D014120415
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000C04 | 38F36A62 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00006C66 | 5A0A3985 | ------- 6372357A-06D7-43EF-B55C-1964F3DD6916
 Section         | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00006C04 | 5ADDA9D5 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001A52 | 21846D5F | ------- 9D0CEA63-745B-417D-BBA4-E5193061C907
 Section         | DXE dependency        |   N/A    | 00000028 | 3E75AB62 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001A04 | D2363F5D | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001A66 | 6FE2EE8D | ------- AE587172-CC15-48E1-8BE0-29DDF05C6A1F
 Section         | DXE dependency        |   N/A    | 0000003A | 527DC29D | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001A04 | 383E1997 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 00000064 | CD368B7F | ------- 12BFCA88-7A2F-4AB5-9A5D-C40CA68BF75F
 Section         | Freeform subtype GUID |   N/A    | 0000004C | E4F5E92E | -------- 962BA95F-4704-478E-8E03-470951F0F99A
 File            | DXE driver            |   N/A    | 00001666 | 958B2DF8 | ------- 80D7491A-F7D9-479D-A8F7-1B393B02ED66
 Section         | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001604 | E67D0F84 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 00001780 | 48AFEEBC | ------- 7B9A0A12-42F8-4D4C-82B6-32F0CA1953F4
 Section         | Freeform subtype GUID |   N/A    | 00001768 | 15C6B0ED | -------- 9BEC7109-6D7A-413A-8E4B-019CED0503E1
 File            | DXE driver            |   N/A    | 00000B42 | E7542A1B | ------- 1FE16506-5CC5-4D89-B8FB-6EB5E134887D
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000B04 | F22FE2C4 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | SMM module            |   N/A    | 0000249A | 235B4C82 | ------- 41B168D3-7C13-430C-BFEE-B438C2795C1F
 Section         | MM dependency         |   N/A    | 00000070 | E7F80515 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00002404 | AB57CCD0 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00002966 | DAEAAAC9 | ------- 3237418A-478C-4700-B59F-768E2CCBC726
 Section         | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00002904 | 0F29806B | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001866 | 87741E5B | ------- 4551F2F5-C684-4F27-936F-C7B04A5C5FF1
 Section         | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001804 | 67890CAB | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 00002324 | 70073CCD | ------- DAF4BF89-CE71-4917-B522-C89D32FBC59F
 Section         | Freeform subtype GUID |   N/A    | 0000230C | B0FC741A | -------- AB56DC60-0057-11DA-A8DB-000102EEE626
 File            | DXE driver            |   N/A    | 00001176 | 3508AA3A | ------- 196CA3D8-9A5A-4735-B328-8FFC1D93D188
 Section         | DXE dependency        |   N/A    | 0000004C | 7EC6DC87 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001104 | 32AC2859 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00000942 | C5930C86 | ------- B92FEC73-D902-4690-9B92-430E0E906369
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000904 | 3E45B91F | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00000E42 | 20E42E65 | ------- A838CBB5-59EF-4493-89D0-133C8968905D
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00000E04 | B4F6DC29 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001752 | C6850134 | ------- 16271FCA-55D9-4A33-93FC-5A3EB128DEB6
 Section         | DXE dependency        |   N/A    | 00000028 | 5B475001 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001704 | 5669E786 | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001B42 | B99D9C39 | ------- 893EFBB3-48E5-40B6-B068-A5D36BEC475A
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001B04 | 066E5C7A | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00003652 | 67408631 | ------- 0E0B0645-0FCD-4B0A-9E83-6E8CC6666D7E
 Section         | DXE dependency        |   N/A    | 00000028 | 80F1E4F9 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00003604 | F8764E9A | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 0000003C | 39DF5A0C | ------- 76252751-0BB1-4E19-9182-A92E662DDA7B
 Section         | Freeform subtype GUID |   N/A    | 00000024 | 994EAC20 | -------- 7654B244-0021-44B3-84D3-AE041C650565
 File            | SMM module            |   N/A    | 00002C9A | 66D198DD | ------- CDD964A1-4D85-489B-B6CB-06D2BB1DA98E
 Section         | MM dependency         |   N/A    | 00000070 | CB5B2269 | -------- MM dependency section
 Section         | PE32 image            |   N/A    | 00002C04 | 7FCB236E | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | DXE driver            |   N/A    | 00001C42 | 0A9F803C | ------- C6A5F156-2F43-449B-99FB-02C40FFF3A11
 Section         | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section         | PE32 image            |   N/A    | 00001C04 | A7CD7AAD | -------- PE32 image section
 Section         | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File            | Freeform              |   N/A    | 00012FBC | 1AC9C830 | ------- DAC2B117-B5FB-4964-A312-0DCC77061B9B
 Section         | Freeform subtype GUID |   N/A    | 00012FA4 | 1DD930E3 | -------- A7FE7491-2C54-4F72-B80E-7649A8210193
 File            | Freeform              |   N/A    | 0000068D | BBBC23CF | ------- 9221315B-30BB-46B5-813E-1B1BF4712BD3 | NVRAM external defaults
 Section         | GUID defined          |   N/A    | 00000675 | BB979572 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00005154 | 9954BCC3 | --------- Raw section
 NVAR entry      | Full                  |   N/A    | 00005130 | 583688C1 | ---------- 4599D26F-1A11-49B8-B91F-858745CFF824 | StdDefaults
 NVAR entry      | Full                  |   N/A    | 00000226 | 6BC53F36 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry      | Full                  |   N/A    | 0000001E | 94187FA9 | ----------- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PlatformLang
 NVAR entry      | Full                  |   N/A    | 00000015 | F0B3B0A4 | ----------- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Timeout
 NVAR entry      | Full                  |   N/A    | 00000068 | 131C23D2 | ----------- C811FA38-42C8-4579-A9BB-60E94EDDFB34 | AMITSESetup
 NVAR entry      | Full                  |   N/A    | 0000001D | E209AA8D | ----------- 5E9A565F-CDC0-413B-AD13-1FE8713FFDCD | PcieSataModVar
 NVAR entry      | Full                  |   N/A    | 00000022 | 414331D4 | ----------- 8E31482A-72EA-4E08-AE30-232472BE3DD9 | RefreshAttribRegistry
 NVAR entry      | Full                  |   N/A    | 0000004F | E437E807 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AsusHwmSetupOneof
 NVAR entry      | Full                  |   N/A    | 0000017D | 2793A84E | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AsusQFanSetupData
 NVAR entry      | Full                  |   N/A    | 00000047 | ADEDB222 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | UsbSupport
 NVAR entry      | Full                  |   N/A    | 00000023 | 3ECAF858 | ----------- D1405D16-7AFC-4695-BB12-41459D3695A2 | NetworkStackVar
 NVAR entry      | Full                  |   N/A    | 00000022 | 85F97177 | ----------- 7B59104A-C00D-4158-87FF-F04D6396A915 | SecureBootSetup
 NVAR entry      | Full                  |   N/A    | 00000023 | 322630F2 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | SetupLedData
 NVAR entry      | Full                  |   N/A    | 0000001E | E89948EA | ----------- A6F44860-B2E8-4FDA-BD45-78368994B6AE | AsusHddSmartInfo
 NVAR entry      | Full                  |   N/A    | 0000001A | 892CB5B4 | ----------- 560BF58A-1E0D-4D7E-953F-2980A261E031 | NV_SIO0_LD2
 NVAR entry      | Full                  |   N/A    | 0000001A | 867AFE86 | ----------- 560BF58A-1E0D-4D7E-953F-2980A261E031 | NV_SIO0_LD3
 NVAR entry      | Full                  |   N/A    | 00000021 | C82AF5E2 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | ImageRollbackSetting
 NVAR entry      | Full                  |   N/A    | 0000003D | 76793194 | ----------- 0024FD50-3BC1-436C-BDDD-2C92515C1285 | SIBoardItemControl
 NVAR entry      | Full                  |   N/A    | 00000021 | 5E0C1765 | ----------- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | SetupMtkRz6XXData
 NVAR entry      | Full                  |   N/A    | 000033FE | F7B6DF40 | ----------- A3A3B874-7636-4182-BA1E-F52C584494E3 | VARSTORE_OCMR_SETTINGS_NAME
 NVAR entry      | Full                  |   N/A    | 00000022 | 17E31FAD | ----------- 5E4CA5E2-C07F-455A-A4EB-D28550884E47 | SetupAiFeatures
 NVAR entry      | Full                  |   N/A    | 00000119 | 14B72978 | ----------- A339D746-F678-49B3-9FC7-54CE0F9DF226 | AMD_PBS_SETUP
 NVAR entry      | Full                  |   N/A    | 0000099D | 107AB536 | ----------- 3A997502-647A-4C82-998E-52EF9486A247 | AmdSetupSHP
 NVAR entry      | Full                  |   N/A    | 00000702 | 42A92AD5 | ----------- 3A997502-647A-4C82-998E-52EF9486A247 | AmdSetupSTP
 NVAR entry      | Full                  |   N/A    | 000003F5 | 61D45118 | ----------- 01239999-FC0E-4B6E-9E79-D54D5DB6CD20 | ServerSetup
 Free space      |                       |   N/A    | 00000010 | 3FB3C61A | ----------- Free space
 NVAR GUID store |                       |   N/A    | 000000F0 | 7F90AC1A | ----------- GUID store
 Free space      |                       |   N/A    | 00000010 | 3FB3C61A | ---------- Free space
 NVAR GUID store |                       |   N/A    | 00000010 | 2F82779F | ---------- GUID store
 File            | Freeform              |   N/A    | 000DA67D | 054DD5A8 | ------- 110DC5D3-ED94-49C1-9F2D-13E129BA22F4
 Section         | Raw                   |   N/A    | 000DA665 | 12693E92 | -------- Raw section
 File            | DXE driver            |   N/A    | 00040075 | FEAC8A1C | ------- B1DA0ADF-4F77-4070-A88E-BFFE1C60529A | AMITSE
 Section         | GUID defined          |   N/A    | 0004005D | 8E2D54A3 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | PE32 image            |   N/A    | 000A5F04 | 36457889 | --------- PE32 image section
 Section         | UI                    |   N/A    | 00000012 | DCE07A8B | --------- UI section
 File            | Freeform              |   N/A    | 0000DAF8 | CD551F85 | ------- FE612B72-203C-47B1-8560-A66D946EB371 | AMITSESetupData
 Section         | GUID defined          |   N/A    | 0000DAE0 | FF4A3CC4 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Freeform subtype GUID |   N/A    | 00074DEC | 01F91FB1 | --------- FE612B72-203C-47B1-8560-A66D946EB371
 Section         | UI                    |   N/A    | 00000024 | 1354558D | --------- UI section
 File            | Freeform              |   N/A    | 000006A6 | 9B9BD782 | ------- FE9C6606-8B49-44A3-8B6B-DEA3A0E0324D
 Section         | Raw                   |   N/A    | 0000068E | 34C83335 | -------- Raw section
 File            | Freeform              |   N/A    | 0000C010 | DC8FA01A | ------- 365C62BA-05EF-4B2E-A7F7-92C1781AF4F9
 Section         | GUID defined          |   N/A    | 0000BFF8 | 4C431807 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 000180CF | 8AC66129 | --------- Raw section
 File            | Freeform              |   N/A    | 0000049E | AF15EBEB | ------- CC0F8A3F-3DEA-4376-9679-5426BA0A907E
 Section         | GUID defined          |   N/A    | 00000486 | E0F38483 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00000885 | CE08E3E0 | --------- Raw section
 File            | Freeform              |   N/A    | 00000F9D | BD5F9C75 | ------- 9FE7DE69-0AEA-470A-B50A-139813649189
 Section         | GUID defined          |   N/A    | 00000F85 | D407826F | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00001482 | 9359F1B2 | --------- Raw section
 File            | Freeform              |   N/A    | 00001A0B | CA9DA442 | ------- FBF95065-427F-47B3-8077-D13C60710998
 Section         | GUID defined          |   N/A    | 000019F3 | 726C296F | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 0000250F | 400E2C94 | --------- Raw section
 File            | Freeform              |   N/A    | 00002941 | 7AA91123 | ------- 9D7A05E9-F740-44C3-858B-75586A8F9C8E
 Section         | GUID defined          |   N/A    | 00002929 | 41223258 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00003B19 | A6C3DDCA | --------- Raw section
 File            | DXE driver            |   N/A    | 00006CDB | 77F323CD | ------- E75953A4-3DAC-40DA-97DE-DDFB560A48B8
 Section         | GUID defined          |   N/A    | 00006CC3 | 75A7A945 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Freeform subtype GUID |   N/A    | 0000D814 | 4734880F | --------- 41C3CB2B-BFB3-4BEB-82F5-421C58FD52B9
 File            | Freeform              |   N/A    | 00009DFE | B894842F | ------- 38715E0A-ECD3-4776-8AC4-7D93510A7468
 Section         | GUID defined          |   N/A    | 00009DE6 | CF6B7ABD | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00020004 | 68962F9D | --------- Raw section
 File            | DXE driver            |   N/A    | 00000086 | FA2626E0 | ------- C02CFCE2-3021-42E6-8186-65FF0F5D9DE2
 Section         | GUID defined          |   N/A    | 0000006E | 5FBBA276 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00000204 | 76A6E869 | --------- Raw section
 File            | Freeform              |   N/A    | 00000551 | 14C7A2A2 | ------- 02076249-A52B-420E-BD53-AED044349379
 Section         | GUID defined          |   N/A    | 00000539 | 0117420F | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00000626 | FD0FDD05 | --------- Raw section
 File            | Freeform              |   N/A    | 000005AA | 8ECD6F35 | ------- FC85CB84-5432-4B7E-9574-5249AF1E7889
 Section         | Raw                   |   N/A    | 00000592 | B6A5C9F1 | -------- Raw section
 File            | Freeform              |   N/A    | 000022CF | 0D278F15 | ------- 820ABF32-8209-4BE0-B346-FE709589373F
 Section         | GUID defined          |   N/A    | 000022B7 | 2799C5C6 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 0000222E | 4BD090ED | --------- Raw section
 File            | Freeform              |   N/A    | 00000995 | E9DE1FC3 | ------- 4F9DA828-A8DE-4842-ABB8-0DAC4BB4B4D0
 Section         | GUID defined          |   N/A    | 0000097D | F89BC2A1 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 00000937 | F18AEC85 | --------- Raw section
 File            | Freeform              |   N/A    | 00008AE9 | E5B2C4C7 | ------- 5612AAE2-FA78-480A-A61A-CD04FA8534D9
 Section         | GUID defined          |   N/A    | 00008AD1 | 2A25BB0B | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 000088E9 | 2D8C2286 | --------- Raw section
 File            | Freeform              |   N/A    | 0000F540 | CA02D7C5 | ------- A0327FE0-1FDA-4E5B-905D-B510C45A61D0
 Section         | Freeform subtype GUID |   N/A    | 00008014 | 500EB538 | -------- 3D805967-8AA3-4E6D-8418-1DE26DC5662E
 Section         | Freeform subtype GUID |   N/A    | 00007514 | F46BF8C1 | -------- 0666820B-F22F-4664-80E6-D953849F3FD4
 Free space      |                       |   N/A    | 00000238 | 288A16E6 | ------- Volume free space
 File            | Freeform              | 0145C7F0 | 000C331E | 5AB58A90 | --- CA92EFA4-BB45-4BCF-9F65-3EB902F6B1FF
 Section         | GUID defined          | 0145C808 | 000C3306 | A09ECE07 | ---- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section         | Raw                   |   N/A    | 0015927C | 50C85747 | ----- Raw section
 File            | Raw                   | 0151FB10 | 00009E50 | 706E1AB9 | --- 4ED407CE-411E-4ADE-8A93-8A34D79F4B52
 File            | Raw                   | 01529960 | 00005850 | 59369426 | --- 77840A38-8AB1-4D7A-9181-03B2F5B34C0B
 File            | Raw                   | 0152F1B0 | 00008450 | 36DE4AE0 | --- 2FAB50B8-AE15-4219-BAA0-E8CA23E57A1E
 File            | Raw                   | 01537600 | 000013BE | A2FF65F6 | --- 226C2458-8194-40CA-B1B8-7F6DFB4EF031
